Produto/Unidade,Nível de Comercialização,U.F.,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
CAFÉ MOÍDO E TORRADO (500 g),VAREJO,AL,"14,32","14,79","15,05","15,53","16,64","16,83","17,04","16,99","16,84","16,67","17,03","16,71"
CARNE DE FRANGO CONGELADO (kg),VAREJO,AL,"13,59","13,57","13,39","14,40","13,49","13,86","13,71",,"13,49","13,82","13,10","12,99"
CARNE DE FRANGO RESFRIADO (kg),VAREJO,AL,"15,70","15,72","15,37","15,65","14,92","14,55","14,62","14,63","14,94","14,73","15,76","15,47"
CEBOLA (kg),VAREJO,AL,"3,57","3,49","5,11","5,22","6,13","5,28","4,97","6,09","6,10","6,75","7,80","9,44"
EXTRATO DE TOMATE (340 g),VAREJO,AL,"5,41","6,28","6,40","6,02","6,09","6,51","6,62","6,92","6,34","3,54","3,41","3,83"
FARINHA DE MANDIOCA MÉDIA TIPO 1 SECA (kg),VAREJO,AL,"4,38","4,31","5,10","5,63","5,43","5,52","5,36","5,88","6,01","5,79","6,31","6,45"
FARINHA DE TRIGO COMUM (kg),VAREJO,AL,"5,01","5,01","5,37","6,04","6,16","6,62","7,01","7,17","7,12","7,44","7,30","7,19"
FEIJÃO CAUPI TIPO 1 (kg),VAREJO,AL,"7,65","7,48","7,24","7,30","7,10","7,36","7,32","7,07","7,37","7,00","6,55","6,73"
FEIJÃO COMUM CORES TIPO 1 (kg),VAREJO,AL,"7,70","7,83","8,02","8,10","9,03","9,76","10,11","10,05","9,33","9,61","8,70","9,67"
FEIJÃO COMUM PRETO TIPO 1 (kg),VAREJO,AL,"8,81","8,80","8,69","8,78","9,52","9,27","9,37","9,47","8,80","8,95","8,63","8,58"
FLOCOS DE MILHO PRE-COZIDO (500 g),VAREJO,AL,"1,72","1,79","1,85","1,87","1,88","1,88","1,88","1,88","1,89","1,79","1,80","1,90"
FUBÁ DE MILHO COMUM AMARELO (kg),VAREJO,AL,"3,74","3,87","4,13","4,11","4,01","5,64","4,76","4,28","4,30","4,35","4,24","4,26"
FUBÁ DE MILHO COMUM MIMOSO (kg),VAREJO,AL,"5,56","5,69","5,70","6,15","6,35","5,90","5,96","6,76","7,71","8,31","7,62","7,47"
LEITE DE VACA EM PÓ INTEGRAL (kg),VAREJO,AL,"26,38","26,71","26,45","27,16","27,30","28,95","32,26","34,57","37,33","43,38","41,36","43,20"
LEITE DE VACA UHT INTEGRAL (l),VAREJO,AL,"5,27","5,23","5,18","5,53","5,88","6,21","7,67","8,81","8,58","8,28","7,48","6,92"
MACARRÃO ESPAGUETE SÊMOLA SEM OVOS (500 g),VAREJO,AL,"3,80","3,74","4,09","4,27","4,50","4,63","4,79","5,12","5,48","5,13","4,95","4,92"
OLEO DE SOJA REFINADO (900 ml),VAREJO,AL,"8,80","8,89","10,26","11,22","11,71","11,33","10,55","9,18","8,59","8,56","8,90","9,00"
PÃO FRANCÊS (kg),VAREJO,AL,"9,58","9,97","10,35","10,59","11,00","11,39","11,67","12,07","12,23","12,36","12,16","12,13"
SAL (kg),VAREJO,AL,"1,50","1,50","1,46","1,50","1,53","1,52","1,59","1,66","1,72","1,74","1,68","1,71"
TOMATE (kg),VAREJO,AL,"7,27","6,65","6,97","7,25","6,00","6,27","4,86","3,60","3,41","3,38","3,43","4,30"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg),ATACADO,AM,"140,42","131,46","133,18","134,49","140,56","139,33","136,99","145,06","138,74","143,93","144,12","150,96"
AÇÚCAR CRISTAL (30 kg),ATACADO,AM,"133,63","127,54","129,52","127,91","138,76","142,45","141,27","137,13","129,95","129,88","130,91","129,65"
CARNE BOVINA DIANTEIRO COM OSSO (15 kg),ATACADO,AM,"272,63","285,00","283,70","280,36","283,50","289,70","284,14","284,24","282,14","280,38","283,40","283,50"
CASTANHA DO BRASIL BENEFICIADA (20 kg),ATACADO,AM,"1.300,00","1.245,26","1.210,84","1.286,57","1.229,95","1.021,13","867,58","924,87","955,73","922,50","922,35","931,75"
FARINHA DE MANDIOCA GROSSA(O) TIPO 1 D ÁGUA (25 kg),ATACADO,AM,"101,95","99,24","97,33","100,77","100,88","98,65","107,18","108,61","120,20","143,13","174,51","203,99"
FARINHA DE MANDIOCA MÉDIA TIPO 1 SECA (25 kg),ATACADO,AM,"97,40","97,66","96,86","100,58","99,56","98,17","102,70","115,98","127,22","125,20","154,83","177,79"
FARINHA DE TRIGO COMUM TIPO 1 (10 kg),ATACADO,AM,"42,04","42,03","46,81","51,29","53,25","54,03","55,53","56,66","56,95","56,95","60,55","60,33"
FEIJÃO CAUPI TIPO 1 (30 kg),ATACADO,AM,"210,91","209,45","198,30","195,50","189,98","189,38","186,50","193,97","184,90","188,18","174,38","174,68"
FEIJÃO COMUM CORES TIPO 1 (30 kg),ATACADO,AM,"217,77","206,22","213,13","220,54","229,25","249,29","254,91","244,90","237,12","237,85","247,24","249,63"
FEIJÃO COMUM PRETO TIPO 1 (30 kg),ATACADO,AM,"216,64","220,18","230,24","230,67","237,82","242,86","236,43","244,04","243,27","228,39","220,60","223,93"
FLOCOS DE MILHO FLOCÃO (10 kg),ATACADO,AM,"22,67","22,51","20,68","21,75","27,30","40,52","42,70","45,14","44,79","41,19","40,99","43,43"
FUBÁ DE MILHO COMUM AMARELO (10 kg),ATACADO,AM,"18,90",,"33,27","32,61","45,23","71,54","65,45","67,50","61,05","56,78","75,93","86,60"
LEITE DE VACA EM PÓ INTEGRAL (24 un),ATACADO,AM,"337,67","347,27","352,35","355,95","343,62","360,76","374,69","389,72","403,00","412,81","424,16","419,93"
LEITE DE VACA LONGA VIDA INTEGRAL (12 l),ATACADO,AM,"67,02","59,61","60,17","61,54","65,19","65,01","77,53","94,04","98,62","92,75","89,03","86,40"
MACARRÃO ESPAGUETE SÊMOLA COM OVOS (10 kg),ATACADO,AM,"41,04","37,79","36,67","42,32","52,73","91,26","89,80","87,31","84,79","96,48","94,70","96,09"
MILHO EM GRÃOS (50 kg),ATACADO,AM,"80,50","78,09","82,41","86,65","85,63","84,80","83,65","83,87","81,33","79,86","79,14","79,31"
OLEO DE SOJA REFINADO (20 un),ATACADO,AM,"184,81","186,68","208,81","216,39","218,78","218,16","209,87","195,83","179,45","167,13","181,90","189,03"
OVOS DE GALINHA TIPO A BRANCO (300 dz),ATACADO,AM,"1.704,50","1.605,53","1.987,37","2.225,71","2.189,25","1.944,59","1.932,38","2.139,57","2.228,64","2.211,75","2.342,27","2.262,73"
ABACAXI PÉROLA (kg),PRODUTOR,AM,"2,70","2,70","2,70","2,72","2,50","2,60","2,86","2,90","3,07","3,53","3,78","3,83"
AMÊNDOA DE ANDIROBA (kg),PRODUTOR,AM,"1,55",,"1,55","1,62","1,62","1,60","1,60","1,60",,,,
AMÊNDOA DE CACAU (kg),PRODUTOR,AM,"10,00",,"9,13","8,90","8,84","8,84","8,84","8,84","9,54","9,38","9,38","9,71"
AÇAÍ FRUTO (kg),PRODUTOR,AM,"2,50","2,42","2,27","2,09","2,09","2,09","2,05",,,,,"5,00"
BANANA PRATA (kg),PRODUTOR,AM,"3,54","3,55","3,55","3,92","5,00","4,95","4,85","4,85","4,58","4,18","3,90","4,51"
BATATA-DOCE (kg),PRODUTOR,AM,"2,60",,"2,60","2,60","2,75","2,60","2,50","2,30","2,30","2,30","2,30","2,50"
BORRACHA CERNAMBI VIRGEM PRENSADO (kg),PRODUTOR,AM,"4,02",,"4,02","3,97","2,40",,,,"11,71","11,71","12,02","12,02"
BURITI FRUTO (kg),PRODUTOR,AM,"0,50","1,53","1,80","1,60","1,60","1,60","1,60","1,60","1,60","1,60",,
CAFÉ CONILLON TIPO 7 (60 kg),PRODUTOR,AM,"470,00","470,00",,,,,,,,,,"700,00"
CASTANHA DO BRASIL EM CASCA (hl),PRODUTOR,AM,"310,80","319,32","320,19","316,62","317,28","317,28",,,,,,"171,59"
CURIMATÃ (kg),PRODUTOR,AM,"5,63","3,48","4,67","4,80","4,60","4,16","4,93","5,08","4,50","3,95","3,83","2,74"
FARINHA DE MANDIOCA FINA SECA (50 kg),PRODUTOR,AM,"185,00","185,00","185,00","185,00","185,00","188,41","182,86","170,00","160,91",,,
FARINHA DE MANDIOCA MÉDIA D ÁGUA (50 kg),PRODUTOR,AM,"235,00","190,00","190,00","204,29","220,00","220,00","203,33","190,00","190,00","193,75","241,14","368,18"
GUARANÁ TIPO 1 (kg),PRODUTOR,AM,"22,50","22,50","22,50",,,,,,,,"38,00","38,00"
JARAQUI (kg),PRODUTOR,AM,"5,00","2,60","3,76","4,35","4,61","5,02","5,60","5,28","4,63","4,53","4,74","2,86"
JUTA JUTA/MALVA EM BRUTO (kg),PRODUTOR,AM,"3,45","3,45","3,45","3,57","3,71","3,71",,"3,71","3,70","3,70","3,70","4,20"
LEITE DE VACA IN NATURA (l),PRODUTOR,AM,"4,00","4,00","3,80","3,50","3,53","3,60","3,70","3,85","3,78","4,05","4,00","4,00"
MURUMURU FRUTO (kg),PRODUTOR,AM,,,,,,,,"0,80","0,80","0,80","0,80","0,80"
OVOS DE GALINHA GRANDE BRANCO (30 dz),PRODUTOR,AM,"166,76","168,32","177,70","194,24","206,18","207,45","207,14","211,74","212,27","205,00","225,00","221,14"
PACU (kg),PRODUTOR,AM,,,,"8,51","7,96","7,31","7,54","7,28","6,38","5,45","6,77",
PIAÇAVA BENEFICIADA (kg),PRODUTOR,AM,"2,60","2,60","2,60","2,60","2,60","2,60","2,60",,,,"3,80","3,80"
PIAÇAVA BENEFICIADA TORA (kg),PRODUTOR,AM,"2,60","2,60","2,60","2,60","2,60","2,60","2,88","3,50","3,51","3,55","4,10","4,10"
PIAÇAVA NÃO BENEFICIADA (kg),PRODUTOR,AM,,,,,,,"2,50",,,,,
